"source_id","platform","handle","canonical_url","entity_type","content_focus","identity_status","monitorability","priority","lifecycle_status","added_at","evidence_url","notes"
"x_formula24hrs","x","Formula24hrs","https://x.com/formula24hrs","fan_news_aggregator","fan_news_aggregation","unknown","unknown","low","proposed","2026-07-31","https://x.com/Formula24hrs?s=20","provisional_classification; identity_not_independently_verified"
"x_fanaticsferrari","x","FanaticsFerrari","https://x.com/fanaticsferrari","fan_news_aggregator","fan_news_aggregation","unknown","unknown","low","proposed","2026-07-31","https://x.com/FanaticsFerrari?s=20","provisional_classification; identity_not_independently_verified"
"x_f1hardwalls4k","x","F1HardWalls4K","https://x.com/f1hardwalls4k","image_entertainment_other","visual_entertainment_or_other","unknown","unknown","low","proposed","2026-07-31","https://x.com/F1HardWalls4K?s=20","provisional_classification; identity_not_independently_verified"
"x_massafelipe19","x","MassaFelipe19","https://x.com/massafelipe19","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/MassaFelipe19?s=20","provisional_classification; identity_not_independently_verified"
"x_wbuxtonofficial","x","wbuxtonofficial","https://x.com/wbuxtonofficial","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/wbuxtonofficial?s=20","provisional_classification; identity_not_independently_verified"
"x_kevinmagnussen","x","KevinMagnussen","https://x.com/kevinmagnussen","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/KevinMagnussen?s=20","provisional_classification; identity_not_independently_verified"
"x_chrismedlandf1","x","ChrisMedlandF1","https://x.com/chrismedlandf1","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/ChrisMedlandF1?s=20","provisional_classification; identity_not_independently_verified"
"x_svandoorne","x","svandoorne","https://x.com/svandoorne","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/svandoorne?s=20","provisional_classification; identity_not_independently_verified"
"x_tgruener","x","tgruener","https://x.com/tgruener","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/tgruener?s=20","provisional_classification; identity_not_independently_verified"
"x_ferrariraces","x","FerrariRaces","https://x.com/ferrariraces","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/FerrariRaces?s=20","provisional_classification; identity_not_independently_verified"
"x_oconesteban","x","OconEsteban","https://x.com/oconesteban","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/OconEsteban?s=20","provisional_classification; identity_not_independently_verified"
"x_mattp1gallagher","x","MattP1Gallagher","https://x.com/mattp1gallagher","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/MattP1Gallagher?s=20","provisional_classification; identity_not_independently_verified"
"x_hyonibeee","x","hyonibeee","https://x.com/hyonibeee","image_entertainment_other","visual_entertainment_or_other","unknown","unknown","low","proposed","2026-07-31","https://x.com/hyonibeee?s=20","identity_and_content_focus_need_manual_review"
"x_aussiegrit","x","AussieGrit","https://x.com/aussiegrit","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/AussieGrit?s=20","provisional_classification; identity_not_independently_verified"
"x_espnf1","x","ESPNF1","https://x.com/espnf1","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/ESPNF1?s=20","provisional_classification; identity_not_independently_verified"
"x_croftyf1","x","CroftyF1","https://x.com/croftyf1","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/CroftyF1?s=20","provisional_classification; identity_not_independently_verified"
"x_afcorse","x","AFCorse","https://x.com/afcorse","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/AFCorse?s=20","provisional_classification; identity_not_independently_verified"
"x_f1mikahakkinen","x","F1MikaHakkinen","https://x.com/f1mikahakkinen","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/F1MikaHakkinen?s=20","provisional_classification; identity_not_independently_verified"
"x_richardhammond","x","RichardHammond","https://x.com/richardhammond","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/RichardHammond?s=20","provisional_classification; F1_relevance_needs_review"
"x_mrjamesmay","x","MrJamesMay","https://x.com/mrjamesmay","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/MrJamesMay?s=20","provisional_classification; F1_relevance_needs_review"
"x_zhouguanyu24","x","ZhouGuanyu24","https://x.com/zhouguanyu24","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/ZhouGuanyu24?s=20","provisional_classification; identity_not_independently_verified"
"x_zbrownceo","x","ZBrownCEO","https://x.com/zbrownceo","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/ZBrownCEO?s=20","provisional_classification; manager_role_needs_verification"
"x_nicorosberg","x","NicoRosberg","https://x.com/nicorosberg","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/NicoRosberg?s=20","provisional_classification; identity_not_independently_verified"
"x_ferrari","x","Ferrari","https://x.com/ferrari","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/Ferrari?s=20","brand_scope_and_F1_relevance_need_review"
"x_jeremyclarkson","x","JeremyClarkson","https://x.com/jeremyclarkson","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/JeremyClarkson?s=20","provisional_classification; F1_relevance_needs_review"
"x_lewishamilton","x","LewisHamilton","https://x.com/lewishamilton","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/LewisHamilton?s=20","provisional_classification; identity_not_independently_verified"
"x_jensonbutton","x","JensonButton","https://x.com/jensonbutton","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/JensonButton?s=20","provisional_classification; identity_not_independently_verified"
"x_jeantodt","x","JeanTodt","https://x.com/jeantodt","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/JeanTodt?s=20","provisional_classification; management_role_needs_verification"
"x_lance_stroll","x","lance_stroll","https://x.com/lance_stroll","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/lance_stroll?s=20","provisional_classification; identity_not_independently_verified"
"x_anto_giovinazzi","x","Anto_Giovinazzi","https://x.com/anto_giovinazzi","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/Anto_Giovinazzi?s=20","provisional_classification; identity_not_independently_verified"
"x_danielricciardo","x","danielricciardo","https://x.com/danielricciardo","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/danielricciardo?s=20","provisional_classification; identity_not_independently_verified"
"x_yukitsunoda07","x","yukitsunoda07","https://x.com/yukitsunoda07","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/yukitsunoda07?s=20","provisional_classification; identity_not_independently_verified"
"x_alex_albon","x","alex_albon","https://x.com/alex_albon","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/alex_albon?s=20","provisional_classification; identity_not_independently_verified"
"x_alo_oficial","x","alo_oficial","https://x.com/alo_oficial","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/alo_oficial?s=20","provisional_classification; identity_not_independently_verified"
"x_schecoperez","x","SChecoPerez","https://x.com/schecoperez","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/SChecoPerez?s=20","provisional_classification; identity_not_independently_verified"
"x_pierregasly","x","PierreGASLY","https://x.com/pierregasly","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/PierreGASLY?s=20","provisional_classification; identity_not_independently_verified"
"x_carlossainz55","x","Carlossainz55","https://x.com/carlossainz55","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/Carlossainz55?s=20","provisional_classification; identity_not_independently_verified"
"x_schumachermick","x","SchumacherMick","https://x.com/schumachermick","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/SchumacherMick?s=20","provisional_classification; identity_not_independently_verified"
"x_haasf1team","x","HaasF1Team","https://x.com/haasf1team","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/HaasF1Team?s=20","provisional_classification; identity_not_independently_verified"
"x_visacashapprb","x","visacashapprb","https://x.com/visacashapprb","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/visacashapprb?s=20","team_branding_and_account_status_need_review"
"x_georgerussell63","x","GeorgeRussell63","https://x.com/georgerussell63","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/GeorgeRussell63?s=20","provisional_classification; identity_not_independently_verified"
"x_hulkhulkenberg","x","HulkHulkenberg","https://x.com/hulkhulkenberg","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/HulkHulkenberg?s=20","provisional_classification; identity_not_independently_verified"
"x_landonorris","x","LandoNorris","https://x.com/landonorris","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/LandoNorris?s=20","provisional_classification; identity_not_independently_verified"
"x_charles_leclerc","x","Charles_Leclerc","https://x.com/charles_leclerc","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/Charles_Leclerc?s=20","provisional_classification; identity_not_independently_verified"
"x_audif1_","x","audif1_","https://x.com/audif1_","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/audif1_?s=20","possible_account_rename_or_new_team_identity; needs_review"
"x_astonmartinf1","x","AstonMartinF1","https://x.com/astonmartinf1","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/AstonMartinF1?s=20","provisional_classification; identity_not_independently_verified"
"x_valtteribottas","x","ValtteriBottas","https://x.com/valtteribottas","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/ValtteriBottas?s=20","provisional_classification; identity_not_independently_verified"
"x_fia","x","fia","https://x.com/fia","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/fia?s=20","provisional_classification; identity_not_independently_verified"
"x_max33verstappen","x","Max33Verstappen","https://x.com/max33verstappen","driver_or_manager","driver_or_manager_updates","unknown","unknown","medium","proposed","2026-07-31","https://x.com/Max33Verstappen?s=20","provisional_classification; identity_not_independently_verified"
"x_f1","x","F1","https://x.com/f1","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/F1?s=20","provisional_classification; identity_not_independently_verified"
"x_redbullracing","x","redbullracing","https://x.com/redbullracing","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/redbullracing?s=20","provisional_classification; identity_not_independently_verified"
"x_williamsf1","x","WilliamsF1","https://x.com/williamsf1","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/WilliamsF1?s=20","provisional_classification; identity_not_independently_verified"
"x_alpinef1team","x","AlpineF1Team","https://x.com/alpinef1team","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/AlpineF1Team?s=20","provisional_classification; identity_not_independently_verified"
"x_scuderiaferrari","x","ScuderiaFerrari","https://x.com/scuderiaferrari","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/ScuderiaFerrari?s=20","provisional_classification; identity_not_independently_verified"
"x_mclarenf1","x","McLarenF1","https://x.com/mclarenf1","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/McLarenF1?s=20","provisional_classification; identity_not_independently_verified"
"x_mercedesamgf1","x","MercedesAMGF1","https://x.com/mercedesamgf1","official_org_team_event","team_or_series_updates","unknown","unknown","high","proposed","2026-07-31","https://x.com/MercedesAMGF1?s=20","provisional_classification; identity_not_independently_verified"
"x_skysportsf1","x","SkySportsF1","https://x.com/skysportsf1","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/SkySportsF1?s=20","provisional_classification; identity_not_independently_verified"
"x_motorsport","x","Motorsport","https://x.com/motorsport","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/Motorsport?s=20","provisional_classification; publication_scope_needs_review"
"x_autosport","x","autosport","https://x.com/autosport","journalist_commentator_media","journalism_commentary","unknown","unknown","medium","proposed","2026-07-31","https://x.com/autosport?s=20","provisional_classification; identity_not_independently_verified"
