handle,category,2026_relevance,recommended_action,selection,reason
F1,official_core,championship_official,keep_core,keep,F1官方总源，赛程赛事与全局消息
fia,official_core,regulator_official,keep_core,keep,规则裁决与官方公告源
McLarenF1,official_core,current_team,keep_core,keep,2026现役车队官方源
ScuderiaFerrari,official_core,current_team,keep_core,keep,2026现役车队官方源
MercedesAMGF1,official_core,current_team,keep_core,keep,2026现役车队官方源
redbullracing,official_core,current_team,keep_core,keep,2026现役车队官方源
WilliamsF1,official_core,current_team,keep_core,keep,2026现役车队官方源
AlpineF1Team,official_core,current_team,keep_core,keep,2026现役车队官方源
AstonMartinF1,official_core,current_team,keep_core,keep,2026现役车队官方源
HaasF1Team,official_core,current_team,keep_core,keep,2026现役车队官方源
audif1_,official_core,current_team,keep_core,keep,2026现役Audi车队候选账号，启用前核验账号身份与现行handle
visacashapprb,official_core,current_team,keep_core,keep,2026 Racing Bulls候选账号，品牌和现行handle需启用前核验
LewisHamilton,current_driver_2026,current_driver,keep_balanced,keep,2026现役车手
Charles_Leclerc,current_driver_2026,current_driver,keep_balanced,keep,2026现役车手
LandoNorris,current_driver_2026,current_driver,keep_balanced,keep,2026现役车手
Max33Verstappen,current_driver_2026,current_driver,keep_balanced,keep,2026现役车手
GeorgeRussell63,current_driver_2026,current_driver,keep_balanced,keep,2026现役车手
PierreGASLY,current_driver_2026,current_driver,keep_balanced,keep,2026现役车手
OconEsteban,current_driver_2026,current_driver,keep_balanced,drop,2026现役车手
HulkHulkenberg,current_driver_2026,current_driver,keep_balanced,drop,2026现役车手
Carlossainz55,current_driver_2026,current_driver,keep_balanced,drop,2026现役车手
alex_albon,current_driver_2026,current_driver,keep_balanced,keep,2026现役车手
alo_oficial,current_driver_2026,current_driver,keep_balanced,keep,2026现役车手
lance_stroll,current_driver_2026,current_driver,keep_balanced,drop,2026现役车手
SChecoPerez,current_driver_2026,current_driver,keep_balanced,drop,2026现役车手
ValtteriBottas,current_driver_2026,current_driver,keep_balanced,drop,2026现役车手
yukitsunoda07,current_driver_2026,current_driver,keep_balanced,drop,2026赛季有参赛记录，当前席位和账号状态启用前复核
ZBrownCEO,team_management,current_team_management,keep_balanced,drop,车队管理层一手观点，频率较低但独家性较高
autosport,f1_media_primary,professional_media,keep_core,drop,专业赛车媒体，现有RSS也已覆盖，X用于快讯和现场更新
Motorsport,f1_media_primary,professional_media,keep_core,drop,专业赛车媒体，现有RSS也已覆盖，X用于快讯和现场更新
ChrisMedlandF1,f1_media_primary,professional_journalist,keep_core,keep,F1现场记者与专业报道
tgruener,f1_media_primary,professional_journalist,keep_core,keep,技术与围场信息价值较高
SkySportsF1,f1_media_primary,broadcaster,keep_core,replace_with_rss,改走官方F1 RSS https://www.skysports.com/rss/12433 并按F1内容门过滤
wbuxtonofficial,f1_media_primary,journalist_commentator,keep_balanced,drop,围场采访与评论，部分内容和F1官方重叠
ESPNF1,f1_media_primary,broadcaster_media,keep_balanced,drop,新闻覆盖广，部分内容与其他媒体重复
CroftyF1,f1_media_primary,commentator,keep_balanced,drop,评论员观点与现场信息，事实快讯密度低于专业媒体
MattP1Gallagher,creator_commentary,creator_commentary,optional,drop,内容创作者与评论，主观性较强
MassaFelipe19,former_driver_legend,former_driver,optional,drop,退役车手与历史内容
KevinMagnussen,former_driver_legend,former_driver,optional,drop,2026非官方现役名单中的车手账号
svandoorne,former_driver_legend,former_driver,optional,drop,非当前F1主力车手，偶有赛车相关内容
AussieGrit,former_driver_legend,former_driver,optional,drop,Mark Webber相关观点与历史内容
F1MikaHakkinen,former_driver_legend,former_champion,optional,drop,退役世界冠军与历史观点
ZhouGuanyu24,former_driver_legend,former_driver,optional,keep,2026非官方现役名单，保留华语关注价值
NicoRosberg,former_driver_legend,former_champion,optional,keep,退役世界冠军与评论内容
JensonButton,former_driver_legend,former_champion,optional,drop,退役世界冠军与评论内容
JeanTodt,former_driver_legend,former_fia_management,optional,drop,历史治理和公益内容，日常F1快讯较少
Anto_Giovinazzi,former_driver_legend,former_driver,optional,drop,当前主要价值偏赛车跨系列
danielricciardo,former_driver_legend,former_driver,optional,drop,2026非现役但受众关注度较高
SchumacherMick,former_driver_legend,former_driver,optional,drop,2026非官方现役名单，F1一手消息密度有限
FerrariRaces,adjacent_official_brand_endurance,non_f1_racing,drop_first,drop,Ferrari赛事品牌内容，和ScuderiaFerrari存在范围重叠
AFCorse,adjacent_official_brand_endurance,endurance_team,drop_first,drop,主要是耐力赛与GT内容，不是当前F1车队
Ferrari,adjacent_official_brand_endurance,brand_general,drop_first,drop,Ferrari品牌总账号，F1内容会被ScuderiaFerrari覆盖
RichardHammond,general_motoring_entertainment,general_entertainment,drop_first,keep,泛汽车娱乐，F1新闻密度低
MrJamesMay,general_motoring_entertainment,general_entertainment,drop_first,keep,泛汽车娱乐，F1新闻密度低
JeremyClarkson,general_motoring_entertainment,general_entertainment,drop_first,keep,泛汽车娱乐与个人观点，F1有效信号低
Formula24hrs,aggregator_fan_visual,fan_aggregator,drop_first,drop,聚合号，原创性和身份仍未独立核验
FanaticsFerrari,aggregator_fan_visual,fan_aggregator,drop_first,drop,粉丝聚合号，和Ferrari官方源重复
F1HardWalls4K,aggregator_fan_visual,visual_entertainment,drop_first,drop,图片娱乐内容，事实信源价值低
hyonibeee,aggregator_fan_visual,unknown_visual,drop_first,drop,身份与内容方向仍需人工确认
